SUB,Age,Gender,1. Start a conversation with a stranger,2. Make sure others are comfortable,3. Create things,4. Plan in advance,5. Feel depressed,6. Plan events,7. Insult people,8. Think about spirituality,9. Let things get messy,10. Feel worried,11. Use difficult words,12. Sympathize with others
SUB01,21,F,4,2,1,3,2,3,4,1,2,4,1,4
SUB02,21,F,4,4,2,3,2,2,4,4,2,3,3,3
SUB03,20,M,4,4,2,2,2,4,3,1,3,2,3,4
SUB04,22,F,4,4,2,4,2,4,5,1,2,2,2,4
SUB05,22,F,5,4,2,3,2,4,4,1,2,3,2,4
SUB06,20,F,3,4,2,4,2,3,4,2,3,2,2,4
SUB07,23,M,4,4,1,5,1,4,3,2,2,4,4,4
SUB08,23,M,3,3,2,3,2,4,5,1,4,4,2,4
SUB09,29,M,4,4,1,4,2,4,4,2,4,4,2,4
SUB10,24,M,4,4,1,4,2,4,5,1,2,4,3,5
SUB11,22,F,5,4,3,4,2,4,4,3,3,3,3,5
SUB12,20,M,3,4,4,1,2,2,2,4,2,3,4,3
SUB13,23,F,4,5,2,5,4,5,4,2,3,4,2,5
SUB14,24,F,4,3,2,4,1,4,5,2,4,3,2,4
SUB15,25,F,5,4,3,3,3,3,2,5,2,4,3,5
SUB16,28,F,1,3,5,4,4,4,2,5,5,1,4,3
SUB17,20,F,4,4,3,5,2,4,4,4,3,2,3,3
SUB18,23,M,2,4,2,4,3,1,3,4,2,5,4,1
SUB19,30,M,1,5,1,1,4,4,5,4,4,3,3,2
SUB20,24,M,4,5,2,4,2,4,3,3,4,2,2,4
SUB21,20,M,3,3,2,4,2,4,5,4,4,4,2,4
SUB22,26,F,4,5,4,4,4,5,4,4,2,4,4,5
SUB23,23,M,4,5,4,4,2,2,4,4,4,4,4,5
SUB24,24,F,3,4,4,5,2,1,5,5,5,2,3,4
SUB25,25,M,4,4,1,5,1,4,5,4,3,4,3,2
SUB26,27,F,3,5,1,4,2,1,5,3,3,2,2,4
SUB27,21,F,5,5,2,4,2,4,5,2,4,3,2,5
SUB28,23,M,2,3,2,4,2,2,5,3,5,2,2,4
SUB29,28,M,2,5,4,5,3,3,4,4,3,4,3,5
SUB30,26,M,2,5,1,4,4,2,5,4,1,4,2,5
